Unnamed: 0,player_id,player_name,birthdate,height,main_position,national_team,foot
53.0,46156.0,Aleksandar Kolarov,1985-11-10,187.0,Left-Back,Serbia,left
54.0,251876.0,Pablo Maffeo,1997-07-12,172.0,Right-Back,Spain U21,right
55.0,20007.0,Pablo Zabaleta,1985-01-16,176.0,Right-Back,Argentina,right
56.0,26267.0,Fernandinho,1985-05-04,179.0,Defensive Midfield,Brazil,right
57.0,51174.0,Fernando,1987-07-25,183.0,Defensive Midfield,Brazil U20,right
58.0,201570.0,George Glendon,1995-05-03,177.0,Defensive Midfield,England U17,right
59.0,261504.0,Aleix Garcia,1997-06-28,173.0,Central Midfield,Spain U21,right
60.0,50362.0,Fabian Delph,1989-11-21,174.0,Central Midfield,England,left
61.0,114365.0,Luke Brattan,1990-03-08,175.0,Defensive Midfield,Australia,right
62.0,88755.0,Kevin De Bruyne,1991-06-28,181.0,Attacking Midfield,Belgium,right
63.0,181498.0,George Evans,1994-12-13,184.0,Defensive Midfield,England U19,right
64.0,13091.0,Yaya Toure,1983-05-13,188.0,Central Midfield,Ivory Coast,right
65.0,18935.0,Samir Nasri,1987-06-26,177.0,Attacking Midfield,France,right
66.0,35518.0,David Silva,1986-01-08,170.0,Attacking Midfield,Spain,left
67.0,277118.0,Manu Garcia,1998-01-02,169.0,Attacking Midfield,Spain,right
68.0,229695.0,Bersant Celina,1996-09-09,181.0,Attacking Midfield,Kosovo,right
69.0,134425.0,Raheem Sterling,1994-12-08,170.0,Left Winger,England,right
70.0,225452.0,Patrick Roberts,1997-02-05,167.0,Right Winger,England U20,left
71.0,26399.0,Sergio Aguero,1988-06-02,173.0,Centre-Forward,Argentina,right
72.0,214927.0,Brandon Barker,1996-10-04,180.0,Left Winger,England U20,right
73.0,81808.0,Wilfried Bony,1988-12-10,183.0,Centre-Forward,Ivory Coast,right
74.0,295330.0,Kelechi Iheanacho,1996-10-03,185.0,Centre-Forward,Nigeria,left
75.0,272624.0,David Faupala,1997-02-11,185.0,Centre-Forward,France U18,right
76.0,76277.0,Laurent Koscielny,1985-09-10,186.0,Centre-Back,France,right
77.0,111873.0,Emiliano Martinez,1992-09-02,195.0,Goalkeeper,Argentina,right
78.0,5658.0,Petr Cech,1982-05-20,196.0,Goalkeeper,Czechia,left
79.0,73396.0,David Ospina,1988-08-31,183.0,Goalkeeper,Colombia,right
80.0,215118.0,Calum Chambers,1995-01-20,182.0,Centre-Back,England,right
81.0,6710.0,Per Mertesacker,1984-09-29,200.0,Centre-Back,Germany,right
82.0,220491.0,Matt Macey,1994-09-09,201.0,Goalkeeper,,right
83.0,43003.0,Nacho Monreal,1986-02-26,179.0,Left-Back,Spain,left
84.0,149498.0,Gabriel Paulista,1990-11-26,187.0,Centre-Back,Brazil,right
85.0,44792.0,Kieran Gibbs,1989-09-26,181.0,Left-Back,England,left
86.0,27306.0,Mathieu Debuchy,1985-07-28,177.0,Centre-Back,France,right
87.0,191217.0,Hector Bellerin,1995-03-19,178.0,Right-Back,Spain,right
88.0,74869.0,Francis Coquelin,1991-05-13,177.0,Defensive Midfield,France U21,right
89.0,17396.0,Mathieu Flamini,1984-03-07,178.0,Defensive Midfield,France,right
90.0,126321.0,Carl Jenkinson,1992-02-08,185.0,Right-Back,England,right
91.0,160438.0,Mohamed Elneny,1992-07-11,179.0,Defensive Midfield,Egypt,right
92.0,351816.0,Ismael Bennacer,1997-12-01,175.0,Defensive Midfield,Algeria,left
93.0,242632.0,Glen Kamara,1995-10-28,183.0,Defensive Midfield,Finland,right
94.0,206225.0,Isaac Hayden,1995-03-22,187.0,Defensive Midfield,England U21,right
95.0,287247.0,Krystian Bielik,1998-01-04,189.0,Defensive Midfield,Poland,right
96.0,74223.0,Jack Wilshere,1992-01-01,172.0,Central Midfield,England,left
97.0,314384.0,Ben Sheaf,1998-02-05,185.0,Defensive Midfield,England U18,right
98.0,50057.0,Aaron Ramsey,1990-12-26,178.0,Central Midfield,Wales,right
99.0,7451.0,Mikel Arteta,1982-03-26,177.0,Central Midfield,Spain U21,right
100.0,15799.0,Santi Cazorla,1984-12-13,168.0,Central Midfield,Spain,both
101.0,143424.0,Alex Oxlade Chamberlain,1993-08-15,175.0,Central Midfield,England,right
102.0,35664.0,Mesut Ozil,1988-10-15,180.0,Attacking Midfield,Germany,left
103.0,193593.0,Jon Toral,1995-02-05,184.0,Attacking Midfield,Spain U17,left
104.0,132.0,Tomas Rosicky,1980-10-04,179.0,Attacking Midfield,Czechia,both
105.0,242631.0,Alex Iwobi,1996-05-03,183.0,Attacking Midfield,Nigeria,right
106.0,326300.0,Jeff Reine Adelaide,1998-01-17,184.0,Attacking Midfield,France U21,right
107.0,121990.0,Wellington Silva,1993-01-06,170.0,Right Winger,Brazil U17,right
108.0,314341.0,Chris Willock,1998-01-31,178.0,Left Winger,England U20,right
109.0,33713.0,Theo Walcott,1989-03-16,175.0,Right Winger,England,both
110.0,82442.0,Olivier Giroud,1986-09-30,192.0,Centre-Forward,France,left
111.0,131248.0,Joel Campbell,1992-06-26,178.0,Right Winger,Costa Rica,left
112.0,67063.0,Danny Welbeck,1990-11-26,185.0,Centre-Forward,England,right
113.0,159471.0,Serge Gnabry,1995-07-14,176.0,Right Winger,Germany,right
114.0,40433.0,Alexis Sanchez,1988-12-19,169.0,Centre-Forward,Chile,right
115.0,127194.0,Yaya Sanogo,1993-01-27,194.0,Centre-Forward,France U21,right
116.0,197642.0,Chuba Akpom,1995-10-09,186.0,Centre-Forward,England U21,right
117.0,7589.0,Victor Valdes,1982-01-14,183.0,Goalkeeper,Spain,right
118.0,110864.0,Sam Johnstone,1993-03-25,193.0,Goalkeeper,England,right
119.0,59377.0,David De Gea,1990-11-07,189.0,Goalkeeper,Spain,right
120.0,192611.0,Joel Pereira,1996-06-28,189.0,Goalkeeper,Portugal U21,right
121.0,30690.0,Sergio Romero,1987-02-22,192.0,Goalkeeper,Argentina,right
122.0,258919.0,Dean Henderson,1997-03-12,188.0,Goalkeeper,England,right
123.0,93176.0,Marcos Rojo,1990-03-20,186.0,Centre-Back,Argentina,left
124.0,103427.0,Chris Smalling,1989-11-22,194.0,Centre-Back,England,right
125.0,117996.0,Phil Jones,1992-02-21,185.0,Centre-Back,England,right
126.0,167268.0,Paddy Mcnair,1995-04-27,183.0,Centre-Back,N. Ireland,right
127.0,314388.0,Ro Shaun Williams,1998-09-03,184.0,Centre-Back,Grenada,right
128.0,12282.0,Daley Blind,1990-03-09,180.0,Left-Back,Netherlands,left
129.0,54906.0,Matteo Darmian,1989-12-02,183.0,Right-Back,Italy,right
130.0,342046.0,Axel Tuanzebe,1997-11-14,185.0,Centre-Back,England U21,right
131.0,258879.0,Cameron Borthwick Jackson,1997-02-02,189.0,Left-Back,England U20,left
132.0,183288.0,Luke Shaw,1995-07-12,178.0,Left-Back,England,left
133.0,134414.0,Tyler Blackett,1994-04-02,183.0,Left-Back,England U21,left
134.0,14086.0,Ashley Young,1985-07-09,175.0,Right-Back,England,both
135.0,33544.0,Antonio Valencia,1985-08-04,180.0,Right-Back,Ecuador,right
136.0,188862.0,Guillermo Varela,1993-03-24,173.0,Right-Back,Uruguay,right
137.0,179451.0,Donald Love,1994-12-02,178.0,Right-Back,Scotland U21,right
138.0,56818.0,Morgan Schneiderlin,1989-11-08,186.0,Defensive Midfield,France,right
139.0,387036.0,Joe Riley,1996-12-06,176.0,Defensive Midfield,,right
140.0,3878.0,Michael Carrick,1981-07-28,189.0,Defensive Midfield,England,right
141.0,340194.0,Regan Poole,1998-06-18,180.0,Right-Back,Wales U21,right
142.0,315131.0,Timothy Fosu Mensah,1998-01-02,185.0,Right-Back,Netherlands,right
143.0,99343.0,Ander Herrera,1989-08-14,182.0,Central Midfield,Spain,right
144.0,2514.0,Bastian Schweinsteiger,1984-08-01,,Central Midfield,Germany,
145.0,183293.0,Joe Rothwell,1995-01-11,185.0,Central Midfield,England U20,right
146.0,251058.0,James Weir,1995-08-04,177.0,Central Midfield,England U19,right
147.0,39679.0,Marouane Fellaini,1987-11-22,194.0,Central Midfield,Belgium,right
148.0,258923.0,Marcus Rashford,1997-10-31,185.0,Left Winger,England,right
149.0,289843.0,Sean Goss,1995-10-01,179.0,Central Midfield,N. Ireland,left
150.0,141660.0,Jesse Lingard,1992-12-15,174.0,Attacking Midfield,England,right
151.0,44068.0,Juan Mata,1988-04-28,170.0,Attacking Midfield,Spain,left
152.0,134424.0,Nick Powell,1994-03-23,183.0,Attacking Midfield,England U21,both
153.0,203394.0,Andreas Pereira,1996-01-01,178.0,Attacking Midfield,Brazil,right
154.0,177847.0,Adnan Januzaj,1995-02-05,186.0,Right Winger,Belgium,left
155.0,50935.0,Chicharito,1988-06-01,175.0,Centre-Forward,Mexico,right
156.0,118535.0,Will Keane,1993-01-11,188.0,Centre-Forward,Ireland,right
157.0,3332.0,Wayne Rooney,1985-10-24,176.0,Centre-Forward,England,right
158.0,182877.0,Anthony Martial,1995-12-05,181.0,Centre-Forward,France,right
159.0,50219.0,Simon Mignolet,1988-03-06,193.0,Goalkeeper,Belgium,right
160.0,167850.0,Memphis Depay,1994-02-13,178.0,Centre-Forward,Netherlands,right
161.0,214104.0,James Wilson,1995-12-01,183.0,Centre-Forward,England U21,left
162.0,203026.0,Danny Ward,1993-06-22,191.0,Goalkeeper,Wales,right
163.0,55247.0,Adam Bogdan,1987-09-27,194.0,Goalkeeper,Hungary,right
164.0,243591.0,Lawrence Vigouroux,1993-11-19,194.0,Goalkeeper,Chile,right
165.0,37838.0,Dejan Lovren,1989-07-05,188.0,Centre-Back,Croatia,right
166.0,193861.0,Ryan Fulton,1996-05-23,191.0,Goalkeeper,Scotland U21,right
167.0,47713.0,Mamadou Sakho,1990-02-13,187.0,Centre-Back,France,left
168.0,24180.0,Martin Skrtel,1984-12-15,191.0,Centre-Back,Slovakia,right
169.0,256178.0,Joe Gomez,1997-05-23,188.0,Centre-Back,England,right
170.0,121280.0,Steven Caulker,1991-12-29,191.0,Centre-Back,Sierra Leone,right
171.0,264193.0,Dan Cleary,1996-03-09,182.0,Centre-Back,Ireland U21,right
172.0,3202.0,Kolo Toure,1981-03-19,178.0,Centre-Back,Ivory Coast,right
173.0,207917.0,Alberto Moreno,1992-07-05,171.0,Left-Back,Spain,left
174.0,293784.0,Conor Masterson,1998-09-08,185.0,Centre-Back,Ireland U21,right
175.0,85177.0,Nathaniel Clyne,1991-04-05,175.0,Right-Back,England,right
176.0,35571.0,Jose Enrique,1986-01-23,184.0,Left-Back,Spain U21,left
177.0,175745.0,Brad Smith,1994-04-09,177.0,Left-Back,Australia,left
178.0,145922.0,Jon Flanagan,1993-01-01,181.0,Right-Back,England,right
179.0,119296.0,Emre Can,1994-01-12,186.0,Defensive Midfield,Germany,right
180.0,128912.0,Andre Wisdom,1993-05-09,186.0,Right-Back,England U21,right
181.0,41414.0,Lucas Leiva,1987-01-09,179.0,Defensive Midfield,Brazil,right
182.0,262545.0,Connor Randall,1995-10-21,180.0,Right-Back,,right
183.0,258924.0,Jordan Rossiter,1997-03-24,178.0,Defensive Midfield,England U20,right
184.0,43530.0,Adam Lallana,1988-05-10,172.0,Attacking Midfield,England,both
185.0,242273.0,Pedro Chirivella,1997-05-23,178.0,Defensive Midfield,Spain U17,right
186.0,61651.0,Jordan Henderson,1990-06-17,187.0,Central Midfield,England,right
187.0,132214.0,Joao Carlos Teixeira,1993-01-18,177.0,Attacking Midfield,Portugal U21,right
188.0,261357.0,Cameron Brannagan,1996-05-09,180.0,Central Midfield,England U20,right
189.0,200782.0,Kevin Stewart,1993-09-07,182.0,Defensive Midfield,Jamaica, 
190.0,3333.0,James Milner,1986-01-04,175.0,Central Midfield,England,right
191.0,51452.0,Joe Allen,1990-03-14,170.0,Central Midfield,Wales,right
192.0,80444.0,Philippe Coutinho,1992-06-12,172.0,Left Winger,Brazil,right
193.0,236510.0,Sheyi Ojo,1997-06-19,179.0,Right Winger,England U21,left
194.0,195652.0,Jordon Ibe,1995-12-08,176.0,Right Winger,England U21,right
195.0,251845.0,Sergi Canos,1997-02-02,177.0,Right Winger,Spain U19,right
196.0,279457.0,Ryan Kent,1996-11-11,176.0,Left Winger,England U20,right
197.0,148368.0,Divock Origi,1995-04-18,189.0,Centre-Forward,Belgium,right
198.0,134294.0,Danny Ings,1992-07-23,177.0,Centre-Forward,England,right
199.0,50201.0,Christian Benteke,1990-12-03,190.0,Centre-Forward,Belgium,right
200.0,236513.0,Jerome Sinclair,1996-09-20,181.0,Centre-Forward,England U17,right
201.0,131789.0,Roberto Firmino,1991-10-02,181.0,Centre-Forward,Brazil,right
202.0,17965.0,Hugo Lloris,1986-12-26,188.0,Goalkeeper,France,left
203.0,47082.0,Daniel Sturridge,1989-09-01,182.0,Centre-Forward,England,left
204.0,42710.0,Toby Alderweireld,1989-03-02,187.0,Centre-Back,Belgium,right
205.0,183301.0,Luke Mcgee,1995-09-02,193.0,Goalkeeper,England U17,right
206.0,26276.0,Michel Vorm,1983-10-20,183.0,Goalkeeper,Netherlands,right
207.0,43250.0,Jan Vertonghen,1987-04-24,189.0,Centre-Back,Belgium,left
208.0,175722.0,Eric Dier,1994-01-15,188.0,Centre-Back,England,right
209.0,122675.0,Kevin Wimmer,1992-11-15,187.0,Centre-Back,Austria,left
210.0,45314.0,Federico Fazio,1987-03-17,195.0,Centre-Back,Argentina,right
211.0,95424.0,Kyle Walker,1990-05-28,183.0,Right-Back,England,right
212.0,50174.0,Danny Rose,1990-07-02,173.0,Left-Back,England,left
213.0,341049.0,Cameron Carter Vickers,1997-12-31,183.0,Centre-Back,USA,right
214.0,95810.0,Kieran Trippier,1990-09-19,173.0,Right-Back,England,right
215.0,255916.0,Deandre Yedlin,1993-07-09,173.0,Right-Back,USA,right
216.0,192765.0,Ben Davies,1993-04-24,181.0,Left-Back,Wales,left
217.0,249126.0,Harry Winks,1996-02-02,178.0,Defensive Midfield,England,right
218.0,341051.0,Kyle Walker Peters,1997-04-13,173.0,Right-Back,England,right
219.0,69633.0,Christian Eriksen,1992-02-14,182.0,Central Midfield,Denmark,right
220.0,121279.0,Tom Carroll,1992-05-28,177.0,Central Midfield,England U21,left
221.0,245537.0,Nabil Bentaleb,1994-11-24,187.0,Central Midfield,Algeria,left
222.0,283655.0,Grant Ward,1994-12-05,178.0,Right Midfield,,right
223.0,19368.0,Mousa Dembele,1987-07-16,185.0,Central Midfield,Belgium,left
224.0,61834.0,Ryan Mason,1991-06-13,175.0,Central Midfield,England,right
225.0,207929.0,Dele Alli,1996-04-11,188.0,Attacking Midfield,England,right
226.0,243589.0,Josh Onomah,1997-04-27,185.0,Central Midfield,England U21,right
227.0,200777.0,Alex Pritchard,1993-05-03,168.0,Attacking Midfield,England U21,right
228.0,91845.0,Heung Min Son,1992-07-08,184.0,Left Winger,South Korea,both
229.0,61842.0,Andros Townsend,1991-07-16,181.0,Right Winger,England,left
230.0,132098.0,Harry Kane,1993-07-28,188.0,Centre-Forward,England,right
231.0,241119.0,Clinton Njie,1993-08-15,175.0,Right Winger,Cameroon,right
232.0,111630.0,Erik Lamela,1992-03-04,184.0,Right Winger,Argentina,left
233.0,101118.0,Joel Robles,1990-06-17,197.0,Goalkeeper,Spain U23,right
234.0,59631.0,Nacer Chadli,1989-08-02,187.0,Left Winger,Belgium,right
235.0,4267.0,Tim Howard,1979-03-06,191.0,Goalkeeper,USA,right
236.0,186590.0,John Stones,1994-05-28,188.0,Centre-Back,England,right
237.0,348623.0,Mason Holgate,1996-10-22,187.0,Centre-Back,England U21,right
238.0,156934.0,Tyias Browning,1994-05-27,187.0,Centre-Back,China,right
239.0,242089.0,Jindrich Stanek,1996-04-27,192.0,Goalkeeper,Czechia,right
240.0,13520.0,Phil Jagielka,1982-08-17,180.0,Centre-Back,England,right
241.0,11111.0,Ramiro Funes Mori,1991-03-05,187.0,Centre-Back,Argentina,left
242.0,220755.0,Matthew Pennington,1994-10-06,185.0,Centre-Back,England U19,right
243.0,208244.0,Brendan Galloway,1996-03-17,186.0,Left-Back,Zimbabwe,left
244.0,124983.0,Bryan Oviedo,1990-02-18,172.0,Left-Back,Costa Rica,left
245.0,13507.0,Leighton Baines,1984-12-11,170.0,Left-Back,England,left
246.0,110860.0,Luke Garbutt,1993-05-21,180.0,Left-Back,England U21,left
247.0,3614.0,Tony Hibbert,1981-02-20,173.0,Right-Back,England U21,right
248.0,93905.0,Muhamed Besic,1992-09-10,180.0,Defensive Midfield,Bosnia,right
249.0,52432.0,Felipe Mattioni,1988-10-15,177.0,Right-Back,,right
250.0,258883.0,Jonjoe Kenny,1997-03-15,176.0,Right-Back,England U21,right
251.0,68390.0,Seamus Coleman,1988-10-11,177.0,Right-Back,Ireland,right
252.0,308632.0,Callum Connolly,1997-09-23,183.0,Defensive Midfield,England U21,right
253.0,131978.0,Ross Barkley,1993-12-05,189.0,Central Midfield,England,right
254.0,3291.0,Gareth Barry,1981-02-23,184.0,Defensive Midfield,England,left
255.0,73484.0,Tom Cleverley,1989-08-12,175.0,Central Midfield,England,right
256.0,3620.0,Leon Osman,1981-05-17,173.0,Central Midfield,England,right
257.0,258916.0,Kieran Dowell,1997-10-10,183.0,Attacking Midfield,England U21,left
258.0,42413.0,Darron Gibson,1987-10-25,183.0,Central Midfield,Ireland,right
259.0,45333.0,James Mccarthy,1990-11-12,180.0,Central Midfield,Ireland,right
260.0,4321.0,Steven Pienaar,1982-03-17,170.0,Left Midfield,South Africa,both
261.0,21333.0,Aiden Mcgeady,1986-04-04,180.0,Left Winger,Ireland,both
262.0,12763.0,Steven Naismith,1986-09-14,178.0,Second Striker,Scotland,right
263.0,218355.0,Conor Grant,1995-04-18,176.0,Central Midfield,England U18,left
264.0,33639.0,Kevin Mirallas,1987-10-05,182.0,Attacking Midfield,Belgium,right
265.0,14221.0,Aaron Lennon,1987-04-16,165.0,Right Winger,England,right
266.0,314210.0,Tom Davies,1998-06-30,180.0,Central Midfield,England U21,right
267.0,96341.0,Romelu Lukaku,1993-05-13,191.0,Centre-Forward,Belgium,left
268.0,209781.0,Oumar Niasse,1990-04-18,182.0,Centre-Forward,Senegal,right
269.0,121260.0,Conor Mcaleny,1992-08-12,178.0,Centre-Forward,,right
270.0,238988.0,Leandro Rodriguez,1992-11-19,179.0,Centre-Forward,,right
271.0,8552.0,Arouna Kone,1983-11-11,181.0,Centre-Forward,Ivory Coast,right
272.0,129476.0,Gerard Deulofeu,1994-03-13,177.0,Centre-Forward,Spain,right
273.0,4311.0,Maarten Stekelenburg,1982-09-22,197.0,Goalkeeper,Netherlands,right
274.0,121280.0,Steven Caulker,1991-12-29,191.0,Centre-Back,Sierra Leone,right
275.0,52570.0,Fraser Forster,1988-03-17,201.0,Goalkeeper,England,right
276.0,195488.0,Paulo Gazzaniga,1992-01-02,195.0,Goalkeeper,Argentina,right
277.0,139208.0,Virgil Van Dijk,1991-07-08,193.0,Centre-Back,Netherlands,right
278.0,13640.0,Kelvin Davis,1976-09-29,185.0,Goalkeeper,,right
279.0,33829.0,Jose Fonte,1983-12-22,187.0,Centre-Back,Portugal,right
280.0,57423.0,Florin Gardos,1988-10-29,193.0,Centre-Back,Romania,right
281.0,163744.0,Jack Stephens,1994-01-27,185.0,Centre-Back,England U21,right
282.0,81789.0,Maya Yoshida,1988-08-24,189.0,Centre-Back,Japan,right
283.0,226978.0,Jordan Turnbull,1994-10-30,185.0,Centre-Back,England U20,left
284.0,91251.0,Cuco Martina,1989-09-25,185.0,Centre-Back,Curaçao,right
285.0,250478.0,Matt Targett,1995-09-18,183.0,Left-Back,England U21,left
286.0,227185.0,Jason Mccarthy,1995-11-07,186.0,Right-Back,,right
287.0,112988.0,Cedric Soares,1991-08-31,171.0,Right-Back,Portugal,right
288.0,226968.0,Sam Mcqueen,1995-02-06,181.0,Left-Back,England U21,left
289.0,40611.0,Ryan Bertrand,1989-08-05,179.0,Left-Back,England,left
290.0,77760.0,Victor Wanyama,1991-06-25,184.0,Defensive Midfield,Kenya,right
291.0,66100.0,Oriol Romeu,1991-09-24,183.0,Defensive Midfield,Spain U23,right
292.0,181579.0,James Ward Prowse,1994-11-01,177.0,Central Midfield,England,right
293.0,104223.0,Jordy Clasie,1991-06-27,169.0,Defensive Midfield,Netherlands,right
294.0,200512.0,Sadio Mane,1992-04-10,174.0,Left Winger,Senegal,right
295.0,123742.0,Gaston Ramirez,1990-12-02,183.0,Attacking Midfield,Uruguay,left
296.0,28973.0,Steven Davis,1985-01-01,172.0,Central Midfield,N. Ireland,right
297.0,226973.0,Harrison Reed,1995-01-27,181.0,Central Midfield,England U20,right
298.0,36139.0,Dusan Tadic,1988-11-20,181.0,Left Winger,Serbia,left
299.0,126737.0,Juanmi,1993-05-20,172.0,Left Winger,Spain,right
300.0,226965.0,Lloyd Isgrove,1993-01-12,178.0,Right Winger,Wales,right
301.0,53360.0,Jay Rodriguez,1989-07-29,185.0,Centre-Forward,England,right
302.0,17273.0,Steven Taylor,1986-01-23,186.0,Centre-Back,England,right
303.0,183318.0,Jamaal Lascelles,1993-11-11,188.0,Centre-Back,England U21,right
304.0,170929.0,Massadio Haidara,1992-12-02,179.0,Left-Back,Mali,left
305.0,179471.0,Curtis Good,1993-03-23,187.0,Centre-Back,Australia,left
306.0,60744.0,Daryl Janmaat,1989-07-22,185.0,Centre-Back,Netherlands,right
307.0,312553.0,Liam Gibson,1997-04-25,,Left-Back,, 
308.0,10642.0,Mike Williamson,1983-11-08,194.0,Centre-Back,,right
309.0,170321.0,Paul Dummett,1991-09-26,183.0,Left-Back,Wales,left
310.0,183321.0,Kevin Mbabu,1995-04-19,184.0,Right-Back,Switzerland,right
311.0,250431.0,Jamie Sterry,1995-11-21,180.0,Right-Back,,right
312.0,49499.0,Georginio Wijnaldum,1990-11-11,175.0,Central Midfield,Netherlands,right
313.0,30670.0,Vurnon Anita,1989-04-04,169.0,Defensive Midfield,Curaçao,right
314.0,312533.0,Callum Williams,1997-02-04,180.0,Right-Back,,right
315.0,61644.0,Jack Colback,1989-10-24,177.0,Defensive Midfield,England,left
316.0,33478.0,Cheik Tiote,1986-06-21,180.0,Defensive Midfield,Ivory Coast,right
317.0,46001.0,Moussa Sissoko,1989-08-16,187.0,Central Midfield,France,right
318.0,158697.0,Gael Bigirimana,1993-10-22,175.0,Central Midfield,Burundi,right
319.0,256773.0,Dan Barlaser,1997-01-18,184.0,Central Midfield,England U18,right
320.0,71292.0,Jonjo Shelvey,1992-02-27,184.0,Central Midfield,England,right
321.0,92381.0,Sammy Ameobi,1992-05-01,190.0,Left Winger,England U21,left
322.0,45509.0,Siem De Jong,1989-01-28,185.0,Attacking Midfield,Netherlands,right
323.0,39909.0,Sylvain Marveaux,1986-04-15,172.0,Attacking Midfield,France U21,left
324.0,51540.0,Henri Saivet,1990-10-26,175.0,Attacking Midfield,Senegal,right
325.0,258188.0,Rolando Aarons,1995-11-16,178.0,Left Winger,Jamaica,left
326.0,184892.0,Florian Thauvin,1993-01-26,181.0,Right Winger,France,left
327.0,43261.0,Gabriel Obertan,1989-02-26,186.0,Right Winger,France U21,right
328.0,61842.0,Andros Townsend,1991-07-16,181.0,Right Winger,England,left
329.0,23825.0,Yoan Gouffran,1986-05-25,175.0,Left Winger,France,right
